"mixture","lab","polarity","xcms_fts","compound","inchikey_2d","rt_sec","ionMass","adduct","cosmic"
"1.2","cembio","neg","10","cytidine 5'-monophosphate","IERHLVCPSMICTF",14.66200000002,322.044311523438,"[M - H]-",0.184286040478773
"1.2","cembio","neg","19","cytidine 5'-monophosphate","IERHLVCPSMICTF",25.76899999998,322.044311523438,"[M - H]-",0.368070088854995
"1.2","cembio","neg","22","cytidine 5'-monophosphate","IERHLVCPSMICTF",29.472,322.044311523438,"[M - H]-",0.461226722472507
"1.2","cembio","neg","24","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA",31.464,174.041793823242,"[M - H]-",0.936406806483257
"1.2","cembio","neg","25","cytidine 5'-monophosphate","IERHLVCPSMICTF",33.174,322.044311523438,"[M - H]-",0.438092936216398
"1.2","cembio","neg","26","L-alpha-aminobutyric acid","QWCKQJZIFLGMSD",34.17,102.05590057373,"[M - H]-",0.182491428092698
"1.2","cembio","neg","27","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA",35.166,174.041793823242,"[M - H]-",0.927485917773654
"1.2","cembio","neg","28","cytidine 5'-monophosphate","IERHLVCPSMICTF",36.876,322.044311523438,"[M - H]-",0.390384042914456
"1.2","cembio","neg","29","L-alpha-aminobutyric acid","QWCKQJZIFLGMSD",37.872,102.05590057373,"[M - H]-",0.159648397909235
"1.2","cembio","neg","30","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA",38.86900000002,174.041793823242,"[M - H]-",0.923546728878934
"1.2","cembio","neg","31","cytidine 5'-monophosphate","IERHLVCPSMICTF",40.578,322.044311523438,"[M - H]-",0.327539936778937
"1.2","cembio","neg","33","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA",42.57100000002,174.041793823242,"[M - H]-",0.895374725041662
"1.2","cembio","neg","34","cytidine 5'-monophosphate","IERHLVCPSMICTF",44.28100000002,322.044311523438,"[M - H]-",0.386849174636988
"1.2","cembio","neg","36","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA",46.27300000002,174.041793823242,"[M - H]-",0.892304298962201
"1.2","cembio","neg","37","cytidine 5'-monophosphate","IERHLVCPSMICTF",47.982,322.044311523438,"[M - H]-",0.331808330105123
"1.2","cembio","neg","40","cytidine 5'-monophosphate","IERHLVCPSMICTF",51.68500000002,322.044311523438,"[M - H]-",0.449606712991762
"1.2","cembio","neg","42","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA",53.67700000002,174.041793823242,"[M - H]-",0.918964731470848
"1.2","cembio","neg","45","N-acetyl-L-aspartic acid","OTCCIMWXFLJLIA",57.37900000002,174.041793823242,"[M - H]-",0.931519483028873
