"chrom_peak_id","lab","consensus_id","sample","mzMin","mzMax","rtMin","rtMax","mz","polarity","mixture","into","intb","maxo"
"CP168540","icl",2552,9,339.97350398599,340.034155250388,27.6358847944366,36.6502476284015,339.999906394,1,"2_2",9178.77519723294,8439.72915994936,2621.09494018555
"CP168593","icl",2597,9,320.960610305461,321.058902751058,30.5993001179359,40.7513732062802,321.002780664059,1,"2_2",3997.50968030652,2950.2506297831,1096.87071228027
"CP168778","icl",2583,9,178.925278591459,178.971754241632,24.9018408755807,37.5620143983415,178.947229005248,1,"2_2",275894.582052522,275885.657209826,43298.9195556641
"CP168825","icl",2586,9,195.907453440768,195.988123092318,25.585025514446,36.8778025883225,195.947549721402,1,"2_2",11873.6414887421,10069.9696760142,2461.43020629883
"CP169049","afekta",102,10,214.89720301426,214.938976682079,18.152491293526,26.9402690713127,214.917565698627,1,"2_3",27780.0285660095,27775.8390660095,17035.697265625
"CP169118","afekta",104,10,230.864987972937,230.910536309992,15.758491293526,27.5384912934994,230.889807546803,1,"2_3",89876.6661178894,88852.1277557508,49613.03125
"CP169423","icl",2584,9,181.041827038736,181.086487000064,58.9581829361776,75.4850211242135,181.064800687289,1,"2_2",65290.1876006046,63068.4121356518,8283.08154296875
"CP169945","hmgu",2014,36,365.867138417346,365.908075857711,20.8695238861926,28.3667738861926,365.887434082626,0,"3_1",1164.76612558543,1143.44812576834,646.908195321444
"CP169972","hmgu",2008,36,123.986645498864,124.026962039109,23.0005238862126,30.4337094423991,124.006871242107,0,"3_1",1060.60842896495,1057.89322896494,692.688211112429
"CP170073","icl",2595,9,116.048435028158,116.101897868412,23.7614379539419,33.4601233798971,116.071099213351,1,"2_2",27858.1106525264,26970.2762518055,14289.0617675781
"CP170544","hmgu",2011,36,306.894593033027,306.936515662889,27.0910295845435,40.2227874792168,306.915564095713,0,"3_1",3816.51157679073,3800.38845878637,1065.16331448769
"CP170694","afekta",105,10,241.969075603761,242.011433966744,25.3269487720509,35.8405134750505,241.990221912851,1,"2_3",9465.67991672659,9341.75748980478,2441.70092773438
"CP170824","afekta",107,10,256.939433660091,256.980316339336,24.7354912934994,38.8036066264529,256.959761513005,1,"2_3",301946.340368316,299196.131997428,89090.234375
"CP171168","hmgu",2001,36,649.762355904509,649.803943326822,300.394135178747,311.763474051669,649.783446746719,0,"3_1",47156.028072221,46119.6908352247,28655.7895152313
"CP171171","hmgu",2032,36,174.935607131844,174.976159176795,27.0910295845435,40.9541561424835,174.955817031966,0,"3_1",53543.1781599097,52805.3675169528,14517.2363609311
"CP171256","hmgu",2029,36,501.27037018407,501.313321781203,318.789428337577,327.717400824253,501.292740144489,0,"3_1",803.111281144938,792.751092926413,394.558012191237
"CP171299","hmgu",2027,36,498.268929325939,498.310879871867,318.061048001842,328.313761666263,498.289878209699,0,"3_1",37445.3815063629,36207.6516365448,17737.737721078
"CP171300","hmgu",2028,36,499.271070160608,499.313389012366,318.789428337577,328.313761666263,499.292983537569,0,"3_1",10537.7506139937,10254.135152587,5105.71275920567
"CP171344","hmgu",2007,36,905.612103578866,905.659072585662,322.367244788045,333.2909536873,905.636944350822,0,"3_1",8992.46510220188,8949.37276806235,2568.94786599811
"CP171346","hmgu",2004,36,798.642958966755,798.685583279059,322.367244788045,333.98585243893,798.664325786203,0,"3_1",22454.5704756631,22405.2139645841,9034.5266712272
"CP171381","hmgu",2006,36,865.625603935402,865.670185287764,321.660731395646,334.596489692794,865.647614577201,0,"3_1",27918.9382007308,27819.5312878669,8733.39851064779
