"mixture","lab","polarity","compound","adduct","source","areaUnderTic","xicFwhm","maxIntensity","apex_rt","snr","baseline","noise","n_scans_in_shape","prior_kind","detection"
"2.3","hmgu","neg","2-hydroxy-3-methylbutyric acid","[M - H]-","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.3","hmgu","neg","2-hydroxy-4-(methylthio)butanoic acid","[M - H]-","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.3","hmgu","neg","6-hydroxynicotinic acid","[M - H]-","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.3","hmgu","neg","L-isoglutamine","[M - H]-","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.3","hmgu","neg","L-proline","[M - H]-","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.3","hmgu","neg","N-acetyl-L-leucine","[M - H]-","consensus",1806.97083942135,38.12900000004,148.017009648087,219.64099999998,144.88513555828,3.1318740898065,1,4,"consensus","detected"
"2.3","hmgu","neg","N-acetyl-L-tryptophan","[M - H]-","consensus",455.279870180336,0.668000000040024,59.1105104609469,247.10599999998,55.4880058632866,3.62250459766028,1,2,"consensus","detected"
"2.3","hmgu","neg","N-acetylserotonin","[M - H]-","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.3","hmgu","neg","gallic acid","[M - H]-","own",295.446470331779,1.38800000004001,49.1814980074705,105.08800000002,33.1214436459548,4.63162808311824,1.34504613991345,5,"own","detected"
"2.3","hmgu","neg","gamma-aminobutyric acid","[M - H]-","own",3983.59426293381,0.709000000019998,2617.99798981864,28.89100000002,1439.26937995575,6.56747116939152,1.81441400408973,2,"consensus","detected"
"2.3","hmgu","neg","imidazol-4-ylacetic acid","[M - H]-","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.3","hmgu","neg","pyruvic acid","[M - H]-","consensus",595.815291370942,2.18599999998,122.444424515255,38.91,29.1107389597533,9.69549780497019,3.87310424741071,5,"consensus","detected"
"2.3","hmgu","neg","taurocyamine","[M - H]-","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.3","hmgu","neg","trans-3-hexenedioic acid","[M - H]-","own",366.565698468277,2.11099999998,101.469442249575,97.07899999998,98.8338739476491,2.63556830192613,1,5,"consensus","detected"
